X,Y,FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Le_1,SHAPE_Area,norm_cases,date,county,state,fips_1,cases,deaths,norm_death,nCov_sqMi,LAT,LONG
-121.728348604583,48.4799540390278,"1927","1927",Skagit,Washington,"53","057","53057","123393",70.299999999999997,"116901",66.599999999999994,"97448","774","2516","2080","226","19709","10118","3739","57980","58921","7597","7414","7696","8052","6580","14104","13828","16511","16243","10259","5927","2690",40.100000000000001,39.000000000000000,41.299999999999997,"45557",2.530000000000000,"5248","6396","9105","14642","1449","3150","30656",3.010000000000000,"51473","5916","30956","14601",1074.000000000000000,99.000000000000000,66765.000000000000000,253515.000000000000000,1755.150000000000091,8.001999931649999,8.002007438979749,0.552930016125000,10.106,2020-10-27,Skagit,Washington,"53057","1247","24",0.195,,,
-121.717189579869,48.82643774728,"1928","1928",Whatcom,Washington,"53","073","53073","218190",100.799999999999997,"201140",93.000000000000000,"171816","1929","5683","7090","492","15756","6577","7553","99635","101505","11337","11265","12059","15905","20277","26169","23995","27329","26164","14668","8229","3743",36.500000000000000,35.399999999999999,37.600000000000001,"80370",2.430000000000000,"10293","12064","15501","23076","1907","4694","48862",2.970000000000000,"90665","10295","49905","30465",1702.000000000000000,68.000000000000000,78744.000000000000000,209937.000000000000000,2163.539999999999964,6.554268607230000,6.554268592391354,0.686223437687000,7.273,2020-10-27,Whatcom,Washington,"53073","1587","60",0.275,,,
-118.560987134026,46.983322093662,"1935","1935",Adams,Washington,"53","001","53001","19938",10.300000000000001,"18728",9.699999999999999,"11703","109","356","125","4","11099","5899","532","9544","9184","2015","1811","1647","1649","1261","2498","2199","2040","1693","1048","603","264",28.899999999999999,28.100000000000001,29.800000000000001,"5720",3.250000000000000,"531","544","1906","1452","270","524","4410",3.710000000000000,"6242","522","3736","1984",713.000000000000000,1454.000000000000000,815010.000000000000000,603302.000000000000000,1930.079999999999927,3.890523176070000,3.890523180843203,0.591027466508000,45.993,2020-10-27,Adams,Washington,"53001","917","10",0.502,,,
-119.510931395486,46.239097903614,"1936","1936",Benton,Washington,"53","005","53005","195297",111.000000000000000,"175177",99.599999999999994,"144418","2221","1574","4691","253","32696","15798","6222","87486","87691","13071","13081","13350","12914","10955","23038","21734","25067","21381","11515","6293","2778",35.600000000000001,34.600000000000001,36.500000000000000,"65304",2.660000000000000,"7642","8230","16013","19102","2219","5233","45699",3.170000000000000,"68618","3314","44582","20722",1509.000000000000000,466.000000000000000,519123.000000000000000,611772.000000000000000,1759.640000000000100,3.259441417710000,3.259441417624954,0.531582251005000,27.717,2020-10-27,Benton,Washington,"53005","5413","138",0.707,,,
-118.899297041488,46.5345591288919,"1937","1937",Franklin,Washington,"53","021","53021","88038",69.599999999999994,"78163",61.799999999999997,"47270","1473","531","1434","107","40004","24881","2467","40447","37716","8297","7699","6912","6214","5645","12669","10147","8356","6528","3290","1773","633",28.300000000000001,28.300000000000001,28.300000000000001,"23245",3.280000000000000,"1973","1833","7901","5561","1115","2418","18163",3.680000000000000,"24423","1178","15399","7846",883.000000000000000,708.000000000000000,452174.000000000000000,838068.000000000000000,1265.670000000000073,3.426072136350000,3.426072143221057,0.384397317256000,56.430,2020-10-27,Franklin,Washington,"53021","4968","69",0.784,,,
-118.478575746751,46.2295404503519,"1938","1938",Walla Walla,Washington,"53","071","53071","61726",47.500000000000000,"58781",45.200000000000003,"49654","1079","603","758","167","11593","4692","1828","29835","28946","3513","3613","3764","4887","5223","7314","6754","7861","7074","4148","3015","1615",36.600000000000001,35.000000000000000,38.500000000000000,"21719",2.500000000000000,"2606","3526","4441","6450","596","1507","14132",3.050000000000000,"23451","1732","13762","7957",943.000000000000000,684.000000000000000,565792.000000000000000,463796.000000000000000,1299.079999999999927,3.176250052670000,3.176250052055070,0.392374477249000,18.874,2020-10-27,Walla Walla,Washington,"53071","1165","7",0.113,,,
-117.203059386795,46.1916343777937,"1949","1949",Asotin,Washington,"53","003","53003","22061",34.399999999999999,"21623",33.799999999999997,"20392","92","302","117","36","643","163","521","10453","11170","1261","1335","1273","1395","1188","2413","2310","3186","3090","2310","1346","516",43.500000000000000,42.500000000000000,44.399999999999999,"9236",2.320000000000000,"1206","1509","1449","2938","251","793","5914",2.830000000000000,"9872","636","6190","3046",185.000000000000000,1423.000000000000000,84330.000000000000000,110857.000000000000000,640.610000000000014,2.133048721000000,2.133048721491093,0.193357728288000,10.607,2020-10-27,Asotin,Washington,"53003","234","8",0.363,,,
-117.907407019937,46.2971806495373,"1950","1950",Columbia,Washington,"53","013","53013","4112",4.700000000000000,"4078",4.700000000000000,"3791","12","58","23","14","254","71","109","2022","2056","216","197","247","230","158","348","422","630","693","527","265","145",48.399999999999999,47.799999999999997,49.000000000000000,"1762",2.270000000000000,"251","266","284","642","38","108","1156",2.760000000000000,"2136","374","1278","484",308.000000000000000,966.000000000000000,184477.000000000000000,187443.000000000000000,873.570000000000050,2.575025160580000,2.575025163501475,0.264177574092000,3.405,2020-10-27,Columbia,Washington,"53013","14","1",0.243,,,
-117.545027572069,46.4310856569811,"1951","1951",Garfield,Washington,"53","023","53023","2268",3.200000000000000,"2266",3.200000000000000,"2125","0","6","39","0","91","52","44","1118","1148","96","107","159","148","75","194","223","348","410","221","189","96",49.000000000000000,47.899999999999999,50.000000000000000,"989",2.250000000000000,"134","165","182","368","29","37","650",2.790000000000000,"1233","244","731","258",211.000000000000000,1462.000000000000000,187523.000000000000000,228475.000000000000000,718.269999999999982,2.573385892430000,2.573385893996824,0.217739258493000,7.055,2020-10-27,Garfield,Washington,"53023","16","0",0.000,,,
-117.522966586117,46.9007079400947,"1952","1952",Whitman,Washington,"53","075","53075","49184",22.600000000000001,"44776",20.600000000000001,"37866","748","308","3472","103","2040","649","1630","22806","21970","1978","1810","1789","6072","11394","5945","3670","4215","3646","2228","1300","729",24.699999999999999,24.500000000000000,24.899999999999999,"17468",2.220000000000000,"2813","2897","2702","4009","233","649","8130",2.860000000000000,"19323","1855","7902","9566",1195.000000000000000,1067.000000000000000,1019951.000000000000000,310294.000000000000000,2177.489999999999782,4.286368398400000,4.286368406718909,0.665780193878000,36.435,2020-10-27,Whitman,Washington,"53075","1792","14",0.285,,,
-119.693311151157,47.735536631429,"1957","1957",Douglas,Washington,"53","017","53017","41420",22.399999999999999,"38431",20.800000000000001,"30573","128","405","283","52","11013","5979","1011","19198","19233","2803","2832","2956","2895","2192","4704","4660","5276","4670","3038","1709","696",36.799999999999997,35.899999999999999,37.700000000000003,"13894",2.750000000000000,"1363","1522","3557","4477","486","1058","10240",3.180000000000000,"16004","2110","9721","4173",849.000000000000000,959.000000000000000,545449.000000000000000,234442.000000000000000,1848.700000000000045,4.526668051540000,4.526668056178115,0.574139349971000,33.993,2020-10-27,Douglas,Washington,"53017","1408","12",0.290,,,
-119.453403868683,47.2041906162408,"1958","1958",Grant,Washington,"53","025","53025","93179",33.399999999999999,"89120",31.899999999999999,"64906","990","1088","810","71","34163","18154","3101","45420","43700","8075","7421","7350","7193","6101","11689","10672","10825","9263","5852","3391","1288",32.100000000000001,31.399999999999999,32.899999999999999,"30041",2.930000000000000,"3327","3294","8092","8331","1314","2583","21800",3.400000000000000,"35083","5042","18831","11210",1552.000000000000000,621.000000000000000,720023.000000000000000,1135499.000000000000000,2791.460000000000036,4.735177574400000,4.735177573262386,0.858339031015000,37.798,2020-10-27,Grant,Washington,"53025","3522","25",0.268,,,
-120.618153756362,47.8675014740882,"1959","1959",Chelan,Washington,"53","007","53007","76981",25.699999999999999,"72453",24.199999999999999,"57484","236","700","588","100","18713","11355","1990","36130","36323","4915","4864","5072","5202","4260","8407","8373","10557","9628","5819","3523","1833",39.299999999999997,38.100000000000001,40.500000000000000,"27827",2.570000000000000,"3275","4034","6073","8588","907","1877","18795",3.100000000000000,"35465","7638","17684","10143",890.000000000000000,85.000000000000000,31537.000000000000000,231999.000000000000000,2994.039999999999964,6.259928602650000,6.259928595155244,0.932206177970000,30.696,2020-10-27,Chelan,Washington,"53007","2363","20",0.260,,,
-119.740085198872,48.5481916859549,"1960","1960",Okanogan,Washington,"53","047","53047","41856",7.900000000000000,"41120",7.700000000000000,"30399","159","4675","237","31","7227","4163","1456","20750","20370","2805","2531","2616","2673","2022","4302","4555","5999","6547","4184","2103","783",42.899999999999999,42.100000000000001,43.799999999999997,"16519",2.450000000000000,"2397","2222","2944","5261","612","1217","10914",2.960000000000000,"22245","5726","11300","5219",1449.000000000000000,832.000000000000000,129232.000000000000000,198150.000000000000000,5314.960000000000036,7.256796974480000,7.256796980124578,1.676667373770000,27.212,2020-10-27,Okanogan,Washington,"53047","1139","13",0.311,,,
-118.516650771857,48.4682990286804,"1961","1961",Ferry,Washington,"53","019","53019","7484",3.300000000000000,"7551",3.300000000000000,"5758","26","1259","52","8","254","89","359","3905","3646","388","376","430","543","402","652","741","1152","1439","900","375","153",47.299999999999997,46.700000000000003,47.799999999999997,"3190",2.290000000000000,"499","409","416","1155","131","198","2070",2.750000000000000,"4403","1213","2295","895",255.000000000000000,3107.000000000000000,19413.000000000000000,20905.000000000000000,2257.300000000000182,4.186083718060000,4.186083717337813,0.711002686401000,4.543,2020-10-27,Ferry,Washington,"53019","34","0",0.000,,,
-118.418587129345,47.5758840588995,"1962","1962",Lincoln,Washington,"53","043","53043","10735",4.600000000000000,"10570",4.500000000000000,"10038","28","173","41","5","239","49","236","5277","5293","551","645","744","676","391","868","1046","1667","1785","1239","675","283",47.500000000000000,47.000000000000000,48.000000000000000,"4422",2.370000000000000,"623","576","808","1725","96","229","3059",2.850000000000000,"5776","1354","3451","971",897.000000000000000,1243.000000000000000,808471.000000000000000,204286.000000000000000,2339.380000000000109,3.941148686690000,3.941148684162063,0.724333628220000,7.080,2020-10-27,Lincoln,Washington,"53043","76","2",0.186,,,
-117.273917690243,48.530927519385,"1963","1963",Pend Oreille,Washington,"53","051","53051","13352",9.400000000000000,"13001",9.100000000000000,"11907","52","488","73","16","391","91","374","6593","6408","698","696","868","791","488","1044","1374","2137","2420","1541","687","257",47.700000000000003,47.500000000000000,47.899999999999999,"5479",2.350000000000000,"847","697","892","1978","166","346","3628",2.840000000000000,"7936","2457","4225","1254",288.000000000000000,151.000000000000000,15315.000000000000000,13730.000000000000000,1425.220000000000027,3.096958761220000,3.096958761055737,0.449459634119000,10.635,2020-10-27,Pend Oreille,Washington,"53051","142","1",0.075,,,
-117.404318434191,47.6198721501761,"1964","1964",Spokane,Washington,"53","063","53063","503651",282.800000000000011,"471221",264.600000000000023,"420275","8056","7295","9957","1902","21260","5880","17856","232696","238525","30241","29752","30441","34817","38015","62297","57743","67825","59121","32165","19435","9369",36.799999999999997,35.600000000000001,38.000000000000000,"187167",2.440000000000000,"24107","29515","36996","51284","5572","14216","118212",2.990000000000000,"201434","14267","120763","66404",2501.000000000000000,215.000000000000000,369641.000000000000000,59880.000000000000000,1780.759999999999991,3.286402233910000,3.286402231305908,0.551833827997000,18.848,2020-10-27,Spokane,Washington,"53063","9493","201",0.399,,,
-117.8553551421,48.3967940068317,"1965","1965",Stevens,Washington,"53","065","53065","44381",17.500000000000000,"43531",17.100000000000001,"38923","145","2413","237","68","1185","289","1456","21782","21749","2310","2756","3244","3205","1675","3707","4853","6975","7290","4714","2052","750",45.000000000000000,44.600000000000001,45.399999999999999,"17316",2.500000000000000,"2137","2115","3397","6351","558","1057","12143",2.950000000000000,"21156","3840","13481","3835",1148.000000000000000,459.000000000000000,88785.000000000000000,31660.000000000000000,2540.750000000000000,5.301971024670000,5.301971020486764,0.799179787340000,5.656,2020-10-27,Stevens,Washington,"53065","251","5",0.113,,,
